library.prep.pool,skip.lib.prep.,Extraction.date,Extraction.conc.,unique_ID,aluminum_band,prev_band,prev_band_2,tissue_number,tissue_number_2,tissue_number_3,tissue_number_4,color_band_lr,color_band_2,sex,age,date_banded,year,plot,longitude,latitude,gps_certainty,pedigree_info,bled,blood_hemat,blood_plasma,blood_whole,feather,freezer_storage_box_location,tissue_notes,mass,bill_depth,bill_length_culmen,bill_length_nares,bill_width,tail,tarsus1,tarsus2,wing_left,wing_right,banders,percent_pine,percent_oak,percent_other,habitat,region,mol.sex
NA,,9-Jan-25,128,M_148,1893-09144,NA,,S20-075,,,,BUY;ARY,NA,M,HY,5/25/20,2020,SZ IST,-119.60452,34.0160869,Trap Setup,NA,Yes,NA,NA,Yes,Yes,1.W14.I2,NA,112.2,9.54,30.55,21,9.17,152,47.22,47.04,NA,138,CAT,0.1838106,0.65107122,0.16511818,pine,east,M
NA,,9-Jan-25,220,M_149,1893-09198,NA,,F19-122,,,,GKW;ARO,NA,M,AHY,11/26/19,2019,SZ CP,-119.60428,34.0157133,Trap Setup,NA,Yes,NA,NA,Yes,Yes,1.W13.E5,NA,111.7,10.36,36.26,26.27,9.05,157,46.62,NA,NA,139,CIM,0.19563869,0.67568304,0.12867827,pine,east,M
NA,,19-Dec-25,22.4,M_16,1363-74590,NA,,F09-123,,,,BRB,AY,M,AHY,11/8/09,2009,SZ CPC,-119.7214101,33.97862994,Trap Setup,NA,No,No,No,Yes,Yes,1.V3.E5,dry sugar,117.67,10.15,31.69,23.31,9.46,155,47.32,47.69,NA,136,KL,0,0.34907455,0.65092545,oak,central,M
NA,,19-Dec-25,43.2,M_17,1363-74595,NA,,F09-138,,,,GKO;AU,NA,M,AHY,11/14/09,2009,SZ Off-plot,-119.60088,33.9915429,Trap Setup,NA,No,No,No,Yes,Yes,1.V3.G2,NA,124.89,10.69,34.98,25.65,9.53,156,48.9,48.76,NA,141,KL,0.01827971,0.3578488,0.6238715,pine,east,M
NA,,19-Dec-25,88.2,M_18,1363-74597,NA,,N10-032,S11-105,,,AP,GYR,M,N,5/4/10,2010,SZ PZ,-119.7626567,34.00490834,Nest,NA,Yes,No,No,Yes,No,1.V4.D5,NA,88.61,NA,NA,NA,NA,0,35.97,35.77,NA,0,SMB,0,0.80804117,0.19195883,oak,west,M
NA,,19-Dec-25,102,M_19,1363-74598,NA,,S10-006,,,,OWR,AP,M,ASY,6/7/10,2010,SZ PZ,-119.7661803,34.00541507,Trap Setup,NA,Yes,No,No,Yes,Yes,1.V4.I4,NA,121.07,10.64,31.16,23.58,10.09,153,48.54,48.73,NA,135,MAD,0,0.83460233,0.16539767,oak,west,M
NA,,19-Dec-25,127,M_2,1363-74537,NA,,844,F10-167,,,WPP,AR,M,HY,6/22/09,2009,SZ FS,-119.7379337,34.00264253,Estimate,NA,No,NA,NA,Yes,Yes,1.V1.C7,NA,112.01,10.28,29.44,22.5,8.9,143,46.01,45.93,NA,129,LC,0,0.448716,0.551284,oak,central,M
NA,,19-Dec-25,87.9,M_20,1363-74599,NA,,S10-010,,,,BWW,AY,M,ASY,6/15/10,2010,SZ CPC,-119.7168454,33.97664839,Trap Setup,NA,Yes,No,No,Yes,Yes,1.V4.H9,NA,124.7,10.59,32.66,23.13,9.58,147,49,49.03,NA,134,MAD,0,0.60195962,0.39804039,oak,central,M
NA,,19-Dec-25,32.7,M_21,1583-92701,NA,,F09-011,S11-009,,,WOU,AY,M,AHY,9/13/09,2009,SZ CPC,-119.7227304,33.97495122,Estimate,NA,No,Yes,Yes,Yes,Yes,1.V2.B2,NA,115.24,NA,NA,NA,NA,161,NA,NA,NA,140,KL,0,0.5696694,0.4303306,oak,central,M
NA,,19-Dec-25,50.9,M_22,1583-92703,NA,,F09-047,S11-056,,,YKY,AY,M,AHY,9/29/09,2009,SZ CPC,-119.721837,33.97433498,Estimate,NA,No,Yes,Yes,Yes,Yes,1.V2.F2,NA,122.49,10.66,38.17,29.69,9.02,160,48.16,48.24,NA,142,KL,0,0.64398468,0.35601532,oak,central,M
NA,,19-Dec-25,53.4,M_23,1583-92708,1683-92708,,F09-069,,,,GBB;AU,NA,M,AHY,10/12/09,2009,SZ Off-plot,-119.61856,34.0010847,Trap Setup,NA,No,No,No,Yes,Yes,1.V2.H6,original band 1683-92708,119.62,10.41,33.87,25.24,9.22,156,48.24,48.48,NA,140,KL,0.10655938,0.41573441,0.47770621,pine,east,M
NA,,5-Jan-25,32.9,M_25,1583-92721,NA,,F09-139,,,,OBG;AU,NA,M,AHY,11/14/09,2009,SZ Off-plot,-119.6024,33.9913395,Trap Setup,NA,No,No,No,Yes,Yes,1.V3.G3,NA,119.22,10.32,35.58,27.09,10.03,158,48.32,48.66,NA,141,KL,0.00849317,0.27931115,0.71219568,pine,east,M
NA,,5-Jan-25,53.4,M_26,1583-92728,NA,,F10-033,,,,BGG;AY,NA,M,AHY,9/29/10,2010,SZ Off-plot,-119.71038,33.9867618,Trap Setup,NA,Yes,Yes,Yes,Yes,Yes,1.V5.D6,NA,121.06,10.4,32.35,24.66,9.29,150,46.58,NA,NA,135,KL,0,0.62799875,0.37200125,oak,central,M
NA,,5-Jan-25,40.1,M_27,1583-92734,NA,,F10-053,,,,GWP;AW,NA,M,AHY,10/8/10,2010,SZ Off-plot,-119.81009,34.0166792,Trap Setup,NA,Yes,No,No,Yes,Yes,1.V5.F7,NA,113.43,10.39,35.39,26.86,9.54,154,46.88,NA,NA,136,KL,0.28313493,0.41243004,0.30443503,pine,west,M
NA,,5-Jan-25,72.3,M_28,1583-92735,NA,,F10-054,,,,BUP;AW,NA,M,AHY,10/9/10,2010,SZ Off-plot,-119.81942,34.0135626,Trap Setup,NA,Yes,No,No,Yes,Yes,1.V5.F8,NA,116.89,10.52,35.46,26.36,9.26,157,47.21,NA,NA,138,KL,0.69805224,0.30002016,0.00192761,pine,west,M
NA,,5-Jan-25,38.8,M_29,1583-92736,NA,,F10-059,,,,OGR;AW,NA,M,HY,10/9/10,2010,SZ Off-plot,-119.86926,34.0219106,Trap Setup,NA,Yes,No,No,Yes,Yes,1.V5.G4,NA,131.73,10.29,32.94,24.31,9.66,158,48.62,NA,NA,134,KL,0,0.19279274,0.80720726,oak,west,M
NA,,19-Dec-25,111,M_3,1363-74539,NA,,848,F10-078,,,GBO,AR,M,HY,6/23/09,2009,SZ FS,-119.737555,33.99958062,Estimate,NA,No,NA,NA,Yes,Yes,1.V1.B9,NA,115.49,10.17,30.81,23.4,9.2,151,46.78,46.71,NA,134,LC,0,0.52125698,0.47874302,oak,central,M
NA,,5-Jan-25,25.6,M_30,1583-92739,NA,,F10-070,S11-041,,,YOP,AR,M,HY,10/16/10,2010,SZ FS,-119.7346356,34.00130689,Trap Setup,1603-78743 father,Yes,Yes,Yes,Yes,Yes,1.V5.H6,NA,124.79,10.46,34.12,25.02,9.57,148,46.85,NA,NA,135,KL,0,0.46243948,0.53756052,oak,central,M
NA,,5-Jan-25,33.8,M_31,1583-92745,NA,,F10-108,,,,BGB;AG,NA,M,AHY,11/1/10,2010,SZ Off-plot,-119.70379,34.0287821,Trap Setup,NA,Yes,No,No,Yes,Yes,1.V6.C8,NA,117.46,10.61,35.5,26.93,9.12,154,46.68,NA,NA,138,KL,0.43917957,0.20377644,0.357044,pine,central,M
NA,,5-Jan-25,54,M_32,1583-92749,NA,,F09-054,S11-093,,,RUG,AP,M,HY,10/3/09,2009,SZ PZ,-119.7582121,34.00846233,Estimate,NA,No,Yes,Yes,Yes,Yes,1.V2.F9,NA,122.2,10.19,33.81,24.85,9.39,148,47.16,47.04,NA,133,KL,0,0.42748754,0.57251247,oak,west,M
NA,,5-Jan-25,21,M_33,1603-78716,1603-78719,,S10-002,F10-163,S10-007,,YGP,NA,M,AHY,6/3/10,2010,SZ CPC,-119.7225741,33.97542906,Trap Setup,NA,No,No,No,Yes,Yes,1.V4.I8,original band 1603-78719,116.68,10.47,33.02,24.12,8.83,131,47.97,48.23,NA,128,MAD,0,0.57905403,0.42094597,oak,,M
NA,,5-Jan-25,26.1,M_34,1603-78735,NA,,S10-026,,,,OUU,AY,M,SY,6/26/10,2010,SZ CPC,-119.7167648,33.97649692,Trap Setup,NA,Yes,No,No,Yes,Yes,1.V4.G2,NA,125.04,10.35,32.9,23.18,9.55,132,48.23,48.33,NA,125,MAD,0,0.60712892,0.39287109,oak,central,M
NA,,5-Jan-25,76.7,M_35,1603-78738,NA,,F10-006,,,,KKU;AO,NA,M,AHY,9/20/10,2010,SZ Off-plot,-119.55337,34.0140499,Trap Setup,NA,Yes,No,No,Yes,Yes,1.V5.A6,NA,118.16,10.08,32.54,24.67,9.66,149,46.28,NA,NA,137,KL,0,0.13117204,0.86882796,oak,east,M
NA,,5-Jan-25,2.5,M_36,1603-78743,NA,,F10-041,,,,AB,WY,M,ASY,10/1/10,2010,SZ FS,-119.7368186,33.99917584,Trap Setup,NA,Yes,No,No,Yes,Yes,1.V5.E4,NA,115.61,10.42,31.49,25.18,9.49,154,47.24,NA,NA,139,KL,0,0.53663249,0.46336751,oak,central,M
NA,,5-Jan-25,45.1,M_37,1603-78756,NA,,F10-105,,,,GYY;AB,NA,M,AHY,10/29/10,2010,SZ Off-plot,-119.76296,33.9866732,Trap Setup,NA,Yes,Yes,Yes,Yes,Yes,1.V6.C5,NA,121.4,10.41,34.46,24.99,9.3,157,47.45,NA,NA,139,KL,0,0.46701208,0.53298792,oak,west,M
NA,,5-Jan-25,92.1,M_38,1603-78769,1573-28085,,838,F10-154,,,PB,OA,M,ASY,6/18/09,2009,SZ FS,-119.7296205,33.99805772,Estimate,NA,No,NA,NA,Yes,Yes,1.V1.D5,original band 1573-28085,120.79,10.8,32.76,24.18,9.21,148,47.81,47.86,NA,138,LC,0,0.330463,0.669537,oak,central,M
NA,,5-Jan-25,30.5,M_39,1603-78776,NA,,S11-010,,,,UWB,AY,M,AHY,6/4/11,2011,SZ CPC,-119.7228859,33.97231375,Trap Setup,NA,Yes,No,No,Yes,Yes,1.V8.B1,NA,119.77,10.19,34.36,24.67,8.77,0,46.96,NA,NA,132,KL,0,0.54235984,0.45764016,oak,central,M
NA,,19-Dec-25,82.1,M_4,1363-74542,NA,,854,F10-119,,,BPG,AP,M,ASY,6/24/09,2009,SZ PZ,-119.7617243,34.00638936,Estimate,NA,No,No,No,Yes,Yes,1.V1.B8,NA,126.98,10.9,31.26,22.71,9.78,156,48.21,48.57,NA,138,LC,0,0.56993357,0.43006643,oak,west,M
NA,,5-Jan-25,68.6,M_40,1603-78788,NA,,F11-012,,,,BPR;AW,NA,M,HY,9/18/11,2011,SZ Off-plot,-119.80244,34.0110212,Trap Setup,NA,Yes,No,No,Yes,Yes,1.V10.B3,NA,108,9.73,33.55,24.87,8.75,150,45.61,NA,NA,133,KL,0.40155063,0.1822305,0.41621887,pine,west,M
NA,,5-Jan-25,71.5,M_41,1603-78795,NA,,F11-060,,,,PKU;AW,NA,M,AHY,10/7/11,2011,SZ Off-plot,-119.81225,34.0166928,Trap Setup,NA,Yes,No,No,Yes,Yes,1.V10.G5,NA,124.88,10.37,35.55,26.54,9.55,160,48.41,NA,NA,140,KL,0.28462185,0.44585242,0.26952573,pine,west,M
